dist_code,month,sector,investment in cr,number_of_employees
15_1,01-Jun-19,"Real Estate,Industrial Parks and IT Buildings",270,1410
15_2,01-Sep-19,"Real Estate,Industrial Parks and IT Buildings",73.08,1365
15_2,01-Nov-19,"Real Estate,Industrial Parks and IT Buildings",66.91,1365
17_2,01-Jun-21,Pharmaceuticals and Chemicals,227.74,1353
15_2,01-Aug-20,Pharmaceuticals and Chemicals,410.68,1277
18_2,01-Jun-21,Pharmaceuticals and Chemicals,217,1260
17_2,01-Oct-19,Plastic and Rubber,20.82,1254
15_2,01-Feb-21,Food Processing,45.3,1184
15_2,01-Apr-19,Engineering,36.67,1159
17_2,01-Oct-21,Pharmaceuticals and Chemicals,473.15,1150
17_2,01-Mar-21,Pharmaceuticals and Chemicals,88.45,1142
15_2,01-Nov-20,Pharmaceuticals and Chemicals,8.6,1133
17_2,01-Oct-22,Pharmaceuticals and Chemicals,105.78,1101
17_1,01-Mar-23,Engineering,108.5,1100
15_2,01-Dec-21,Pharmaceuticals and Chemicals,582.7,1099
18_2,01-Jun-22,Pharmaceuticals and Chemicals,253.98,1080
15_2,01-Sep-21,Pharmaceuticals and Chemicals,382.96,1045
17_2,01-May-19,Pharmaceuticals and Chemicals,30.83,1033
17_2,01-Oct-22,Beverages,9.08,1030
14_1,01-May-19,Granite and Stone Crushing,0,1000
23_3,01-Jul-20,Pharmaceuticals and Chemicals,600.75,1000
23_1,01-Sep-20,Pharmaceuticals and Chemicals,45,1000
17_2,01-Dec-20,Beverages,272.56,1000
23_1,01-Dec-21,Others,341.97,1000
17_2,01-Oct-19,"Real Estate,Industrial Parks and IT Buildings",20.21,990
23_2,01-Feb-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",58.5,950
20_3,01-Feb-22,Textiles,4.5,950
15_1,01-Aug-22,Plastic and Rubber,1417.42,916
17_2,01-Jun-19,R&D,159.19,904
17_2,01-Jan-23,R&D,188.02,900
17_2,01-Nov-19,Pharmaceuticals and Chemicals,13.4,899
17_2,01-May-19,Engineering,60.39,895
17_2,01-Dec-20,Pharmaceuticals and Chemicals,226.57,863
15_2,01-Feb-21,R&D,61.35,860
15_2,01-May-19,Engineering,63.62,843
15_2,01-Sep-19,Pharmaceuticals and Chemicals,31.52,840
17_2,01-Jun-22,Plastic and Rubber,46.45,836
15_2,01-Feb-23,Pharmaceuticals and Chemicals,124.93,824
23_3,01-Aug-21,Pharmaceuticals and Chemicals,42.2,818
17_1,01-Apr-19,Agro based incl Cold Storages,59.5,800
14_4,01-Jul-19,Beverages,0.12,800
17_1,01-Jul-21,Pharmaceuticals and Chemicals,136,800
15_2,01-Nov-22,Electrical and Electronic Products,13.9,800
17_2,01-Jul-22,Automobile,32.5,777
17_2,01-Feb-20,R&D,21.35,773
15_2,01-Feb-22,R&D,137.27,772
15_2,01-Aug-19,Engineering,15.42,761
15_1,01-Mar-22,R&D,231.63,750
15_1,01-Mar-23,Plastic and Rubber,430.59,743
17_2,01-Dec-20,Plastic and Rubber,241.01,725
17_3,01-Jul-19,Food Processing,98.35,712
14_1,01-Oct-19,R&D,1.85,700
17_2,01-Nov-20,Plastic and Rubber,240,700
14_5,01-Jan-22,Beverages,852.5,700
17_1,01-Dec-22,Engineering,227.52,695
23_2,01-Mar-22,Pharmaceuticals and Chemicals,104.63,690
15_1,01-Jul-22,Others,124.29,688
17_2,01-Jun-19,Engineering,11.77,683
15_1,01-Jan-21,Solar and Other Renewable Energy,224.5,683
15_1,01-Feb-23,Plastic and Rubber,170.16,681
17_1,01-Oct-22,Engineering,244.77,676
17_2,01-Aug-22,Pharmaceuticals and Chemicals,18.13,675
23_1,01-Oct-21,Pharmaceuticals and Chemicals,14.4,650
15_2,01-Jul-21,Pharmaceuticals and Chemicals,147.1,642
17_2,01-Feb-21,Engineering,57.06,613
15_2,01-Jan-21,Others,13.07,610
14_1,01-Aug-22,Textiles,39.13,610
15_1,01-Sep-20,Textiles,518.33,600
23_1,01-Jun-21,Pharmaceuticals and Chemicals,112.2,600
22_1,01-Jan-22,Granite and Stone Crushing,7.09,600
15_1,01-Feb-22,Electrical and Electronic Products,2.89,600
15_2,01-Sep-19,Plastic and Rubber,154.95,593
14_1,01-Dec-21,Pharmaceuticals and Chemicals,56.63,590
15_2,01-Mar-23,Pharmaceuticals and Chemicals,41.94,570
15_2,01-Apr-22,Pharmaceuticals and Chemicals,51.99,566
21_2,01-Jul-19,Textiles,26.6,560
17_2,01-Feb-22,Pharmaceuticals and Chemicals,218.1,560
15_1,01-Feb-23,Engineering,350.07,553
23_2,01-Apr-22,Pharmaceuticals and Chemicals,102.63,545
15_1,01-Jul-22,Paper and Printing,92.98,540
15_1,01-Jul-19,Others,13,530
17_1,01-Mar-21,Engineering,34.68,521
15_1,01-Oct-21,Plastic and Rubber,141.73,507
15_2,01-Apr-19,Pharmaceuticals and Chemicals,9.05,503
17_2,01-Sep-22,Others,0.73,502
14_1,01-Mar-21,Pharmaceuticals and Chemicals,1,500
15_1,01-Jun-21,Electrical and Electronic Products,34.01,500
14_1,01-Nov-21,R&D,0.3,500
17_3,01-Feb-22,R&D,0.03,500
14_5,01-Feb-22,Beverages,602.5,500
15_1,01-Jul-22,R&D,47.14,500
17_2,01-Oct-22,Others,1.27,500
15_2,01-Oct-22,Pharmaceuticals and Chemicals,20.39,493
15_1,01-Apr-19,Food Processing,0.55,489
17_2,01-Apr-21,R&D,31.4,482
14_1,01-Oct-19,Pharmaceuticals and Chemicals,17.12,480
15_2,01-Jul-19,Pharmaceuticals and Chemicals,196.56,476
15_2,01-May-22,Engineering,61.35,470
15_2,01-Apr-19,Paper and Printing,6.12,462
15_1,01-Dec-19,Others,196.56,456
15_2,01-Apr-21,R&D,77.54,452
14_1,01-Nov-19,Pharmaceuticals and Chemicals,45,450
20_4,01-Dec-19,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",5254.28,450
14_1,01-Apr-22,Pharmaceuticals and Chemicals,35,450
17_2,01-Aug-19,Pharmaceuticals and Chemicals,42.86,447
17_2,01-Jun-19,Plastic and Rubber,4.04,445
15_2,01-Dec-19,Engineering,33.53,439
15_2,01-Feb-22,Engineering,29.13,437
17_2,01-Jun-20,Others,22.33,435
15_1,01-Feb-22,R&D,140,425
15_2,01-Dec-20,Pharmaceuticals and Chemicals,908.76,423
23_1,01-Mar-23,Food Processing,229.7,408
15_1,01-Feb-21,Pharmaceuticals and Chemicals,1019.71,407
21_2,01-Feb-20,Textiles,19.16,405
15_2,01-Jan-20,Pharmaceuticals and Chemicals,84.59,403
15_2,01-Nov-22,Engineering,33.57,402
17_1,01-Aug-20,Engineering,150,400
15_1,01-Dec-20,Paper and Printing,80,400
17_3,01-May-21,Pharmaceuticals and Chemicals,58.81,400
14_1,01-Jan-22,Granite and Stone Crushing,72.9,400
15_1,01-Sep-19,Textiles,644.75,390
17_2,01-Apr-21,Plastic and Rubber,934.88,390
15_1,01-Jul-21,Engineering,67.72,390
17_2,01-Jul-19,Engineering,3.59,388
15_1,01-Mar-20,Paper and Printing,145,380
15_2,01-Sep-22,Agro based incl Cold Storages,139.1,375
15_1,01-Dec-21,Plastic and Rubber,81.89,373
17_2,01-Mar-21,Others,19.88,372
15_2,01-Mar-20,Pharmaceuticals and Chemicals,78.04,370
15_2,01-Apr-21,Electrical and Electronic Products,9.23,370
14_1,01-Jul-21,Pharmaceuticals and Chemicals,64.25,366
15_2,01-Mar-21,R&D,133.07,365
15_2,01-Nov-21,Engineering,17.79,364
15_2,01-Feb-21,Engineering,25.33,363
15_2,01-Mar-20,Electrical and Electronic Products,8.61,359
17_2,01-Feb-20,Engineering,1.63,355
17_1,01-Nov-21,Engineering,34.14,355
15_2,01-Nov-19,Engineering,25.37,354
17_1,01-Oct-21,Food Processing,8.42,353
15_1,01-Oct-19,Engineering,276.65,352
21_2,01-Jan-20,Textiles,21.56,352
15_2,01-Mar-21,Food Processing,3.55,350
17_1,01-Aug-21,Pharmaceuticals and Chemicals,60,350
18_2,01-Dec-21,Food Processing,92.14,350
23_3,01-Mar-22,Pharmaceuticals and Chemicals,40.9,350
14_1,01-Dec-22,Pharmaceuticals and Chemicals,21.04,350
15_2,01-Mar-22,R&D,37.46,347
17_2,01-Jun-20,Solar and Other Renewable Energy,0.24,343
17_2,01-Jan-21,Pharmaceuticals and Chemicals,357.01,341
17_2,01-May-21,Engineering,38.34,341
14_1,01-Jun-22,R&D,127.82,340
15_1,01-Feb-23,Paper and Printing,24.44,340
15_1,01-Jan-20,Food Processing,3.35,338
15_2,01-May-19,Food Processing,6.77,337
15_2,01-Jun-21,Food Processing,6.85,337
15_1,01-Jun-21,Plastic and Rubber,430.03,336
15_2,01-Mar-22,Engineering,30.11,332
15_2,01-May-22,Pharmaceuticals and Chemicals,12.31,332
17_2,01-Sep-21,Others,20.36,330
15_2,01-Jan-23,Pharmaceuticals and Chemicals,10.2,330
15_2,01-Sep-19,Engineering,28.69,325
15_2,01-Jul-19,Engineering,27.73,324
17_3,01-May-22,Pharmaceuticals and Chemicals,148.66,320
15_2,01-Jan-21,Engineering,17.63,317
15_2,01-Aug-22,Engineering,15.43,317
15_1,01-May-19,Food Processing,27,316
23_3,01-Sep-21,Pharmaceuticals and Chemicals,26.01,315
17_2,01-Dec-21,Pharmaceuticals and Chemicals,58.83,315
17_2,01-Aug-19,Others,119.26,312
15_2,01-Aug-20,Agro based incl Cold Storages,27.36,311
15_1,01-Aug-19,Engineering,7.32,308
15_1,01-Dec-22,Plastic and Rubber,1556.07,307
15_2,01-Dec-20,Food Processing,20.04,306
17_2,01-Aug-21,Pharmaceuticals and Chemicals,31.09,306
14_1,01-Apr-19,Paper and Printing,14.4,305
15_2,01-Nov-21,Pharmaceuticals and Chemicals,369.78,305
15_1,01-Jun-22,Granite and Stone Crushing,239.22,304
17_2,01-Jan-20,Engineering,14.28,303
17_2,01-Apr-21,Engineering,21.09,302
15_2,01-Jun-21,Pharmaceuticals and Chemicals,56.94,302
15_2,01-May-19,"Real Estate,Industrial Parks and IT Buildings",55.5,300
15_1,01-Jan-20,Pharmaceuticals and Chemicals,125,300
23_2,01-Mar-21,Pharmaceuticals and Chemicals,40.5,300
15_2,01-Apr-21,Food Processing,10.95,300
15_3,01-May-21,Pharmaceuticals and Chemicals,28,300
23_1,01-Sep-21,Pharmaceuticals and Chemicals,7,300
23_2,01-Nov-21,Pharmaceuticals and Chemicals,50,300
17_2,01-Jan-22,Others,10.91,300
23_2,01-Jan-22,Pharmaceuticals and Chemicals,52.39,300
15_1,01-Dec-22,Engineering,20.02,300
20_1,01-Mar-21,Granite and Stone Crushing,24.66,297
17_2,01-Jul-21,Engineering,14.09,295
15_2,01-Apr-21,Engineering,35.92,290
15_2,01-Mar-21,Engineering,9.56,289
17_2,01-Sep-21,Engineering,14.92,288
15_2,01-Dec-21,Engineering,12.17,286
23_3,01-Feb-22,Pharmaceuticals and Chemicals,88.82,285
17_1,01-Aug-19,Plastic and Rubber,11.59,280
23_2,01-Sep-21,Pharmaceuticals and Chemicals,14.63,280
17_2,01-Mar-22,Pharmaceuticals and Chemicals,56.75,280
23_3,01-Jan-23,Engineering,19.03,278
15_1,01-Mar-22,Pharmaceuticals and Chemicals,14.25,275
15_1,01-Feb-21,Engineering,637.26,273
23_2,01-Aug-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",946.71,270
15_1,01-May-22,Others,17.11,269
15_2,01-Jun-21,Engineering,8.27,267
20_1,01-Feb-21,Granite and Stone Crushing,17.58,266
15_2,01-Apr-19,Food Processing,0.42,265
17_2,01-Nov-21,Pharmaceuticals and Chemicals,83.19,265
15_1,01-Sep-22,Others,15.81,265
17_1,01-Mar-22,Engineering,18.87,262
17_2,01-Dec-20,Engineering,8.07,261
17_2,01-Aug-21,R&D,5.26,261
17_3,01-Jan-23,Engineering,33.49,261
15_2,01-Apr-22,R&D,432.43,260
14_1,01-Jan-23,Others,113.29,260
15_2,01-Aug-20,Engineering,22.43,258
17_3,01-Jun-21,Pharmaceuticals and Chemicals,57.93,257
15_2,01-Sep-22,Pharmaceuticals and Chemicals,90.12,257
17_2,01-Nov-21,Engineering,34.01,256
17_3,01-Nov-20,Food Processing,46.23,255
17_2,01-Nov-21,Beverages,287.08,255
15_1,01-Mar-23,"Cement, Cement & Concrete Products, Fly Ash Bricks",71.15,254
15_2,01-Jan-20,Electrical and Electronic Products,15.22,253
17_2,01-Aug-20,Engineering,26.18,252
17_2,01-Apr-19,Food Processing,18,250
15_1,01-May-19,Engineering,0,250
14_1,01-Jan-20,Plastic and Rubber,146.25,250
17_2,01-Mar-20,Granite and Stone Crushing,7,250
23_3,01-Jan-21,Pharmaceuticals and Chemicals,42.7,250
23_1,01-Nov-21,Pharmaceuticals and Chemicals,42.2,250
15_2,01-Nov-21,Others,13.1,250
15_1,01-May-22,Automobile,51,250
17_2,01-Aug-22,Plastic and Rubber,26.05,250
14_1,01-Jan-23,Pharmaceuticals and Chemicals,75,250
15_2,01-Jun-22,Engineering,25.02,249
15_2,01-Aug-22,Pharmaceuticals and Chemicals,31.59,245
15_1,01-Nov-22,Engineering,12.36,243
15_2,01-Jul-22,Engineering,8.84,242
23_1,01-Feb-21,Pharmaceuticals and Chemicals,105,240
17_3,01-Aug-22,Paper and Printing,36.62,240
17_2,01-Jul-22,Others,6.21,239
15_2,01-Jan-22,Engineering,5.34,238
23_3,01-Sep-22,Engineering,23.28,237
15_2,01-Mar-23,Engineering,12.68,233
15_2,01-Nov-20,Food Processing,6.19,231
17_2,01-May-21,Food Processing,10.52,231
15_2,01-Jul-21,Electrical and Electronic Products,24.47,230
14_4,01-Jun-22,Food Processing,4.36,230
15_2,01-Nov-19,Pharmaceuticals and Chemicals,59.59,228
15_2,01-Oct-21,Engineering,11.4,226
17_2,01-Nov-20,Pharmaceuticals and Chemicals,144.03,225
15_2,01-Dec-20,Engineering,8.49,225
17_1,01-Sep-22,Pharmaceuticals and Chemicals,51.82,225
17_2,01-Apr-22,Pharmaceuticals and Chemicals,26.44,223
20_1,01-May-22,Granite and Stone Crushing,8.87,222
17_3,01-Feb-22,Pharmaceuticals and Chemicals,123.73,221
17_2,01-Mar-22,Engineering,33.95,221
17_2,01-Sep-22,Plastic and Rubber,93.18,221
17_2,01-Sep-19,Pharmaceuticals and Chemicals,95.17,220
15_2,01-Mar-20,Engineering,12.98,220
15_1,01-Mar-20,Food Processing,4.77,220
17_2,01-May-21,R&D,37.71,220
23_3,01-May-22,Engineering,22.18,217
15_3,01-Nov-22,Food Processing,3.76,216
15_2,01-Jul-19,Plastic and Rubber,117.31,215
17_2,01-Dec-20,Granite and Stone Crushing,29.48,215
15_1,01-Apr-22,Others,32.4,215
15_1,01-Mar-23,Pharmaceuticals and Chemicals,60.66,215
15_2,01-Jul-21,Engineering,11.2,214
15_2,01-Sep-20,Engineering,12.79,213
17_3,01-Jan-22,Food Processing,19.24,213
15_2,01-Aug-22,Plastic and Rubber,24.91,213
17_2,01-Mar-20,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",9.97,212
17_2,01-Aug-22,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.25,212
15_2,01-Oct-19,R&D,3.59,210
15_1,01-Oct-22,Plastic and Rubber,19.2,210
15_2,01-Feb-21,Plastic and Rubber,7.92,209
15_2,01-Jun-22,R&D,19.52,209
15_1,01-Nov-21,Plastic and Rubber,22.34,208
15_2,01-May-22,Agro based incl Cold Storages,102.38,206
17_3,01-Jun-22,Agro based incl Cold Storages,530,206
14_1,01-Jan-20,Engineering,9.47,205
15_2,01-Feb-20,Pharmaceuticals and Chemicals,8.44,205
14_1,01-Aug-22,Others,90.52,205
20_1,01-Apr-21,Granite and Stone Crushing,10.63,204
17_2,01-Jun-22,Engineering,41.87,204
21_2,01-May-19,Textiles,9.5,200
14_1,01-Jun-19,Plastic and Rubber,90.52,200
17_2,01-Jul-19,Pharmaceuticals and Chemicals,9.1,200
17_2,01-Jul-19,Electrical and Electronic Products,7.99,200
16_1,01-Dec-19,Engineering,3.24,200
15_2,01-Jun-20,R&D,35,200
17_2,01-Jul-20,Electrical and Electronic Products,9.1,200
17_1,01-Oct-20,Textiles,21.77,200
17_2,01-Nov-20,R&D,5,200
15_1,01-Dec-20,Food Processing,4.41,200
14_2,01-Sep-21,Textiles,0.55,200
14_1,01-Feb-22,Electrical and Electronic Products,17,200
17_1,01-Aug-22,Others,4.65,200
17_2,01-Sep-22,Paper and Printing,0,200
17_2,01-Nov-22,Electrical and Electronic Products,7.98,200
17_2,01-Dec-22,Electrical and Electronic Products,7.98,200
17_2,01-Mar-23,Others,6.6,200
15_1,01-Jan-22,Engineering,11.46,199
15_2,01-Mar-22,Paper and Printing,20.33,199
17_2,01-Oct-21,Engineering,9.92,198
14_1,01-Oct-22,Beverages,10,198
15_2,01-Jun-20,Food Processing,10.09,197
15_2,01-Jul-21,Plastic and Rubber,36.92,197
14_1,01-Feb-23,Beverages,13,195
15_2,01-Jun-22,Paper and Printing,3.1,194
15_1,01-Nov-22,"Real Estate,Industrial Parks and IT Buildings",600,194
17_2,01-Apr-19,Engineering,3.42,190
14_1,01-May-19,Pharmaceuticals and Chemicals,66.9,190
16_1,01-Mar-20,Engineering,0.48,190
17_2,01-Sep-20,Engineering,17.36,190
15_1,01-Jul-22,Electrical and Electronic Products,74.7,190
15_2,01-Sep-22,Food Processing,120.8,190
23_3,01-Aug-20,Pharmaceuticals and Chemicals,13.15,187
15_2,01-Sep-22,Engineering,10.21,187
15_2,01-Jun-19,Electrical and Electronic Products,4.86,186
14_3,01-Dec-21,Food Processing,21.43,185
15_1,01-Jun-22,Plastic and Rubber,19.56,185
15_1,01-Feb-21,Food Processing,13.12,182
20_3,01-Sep-19,Food Processing,1.22,181
15_3,01-Oct-20,Textiles,12.7,181
15_2,01-Sep-21,Engineering,12.48,181
15_1,01-Sep-21,Plastic and Rubber,20.68,181
15_2,01-Feb-22,Pharmaceuticals and Chemicals,44.13,181
15_1,01-Jun-22,Engineering,26.99,181
21_2,01-Jun-19,Textiles,8.55,180
21_2,01-Jun-20,Textiles,8.55,180
17_2,01-Oct-20,R&D,2.7,180
15_2,01-May-22,R&D,27.7,180
17_2,01-Jun-22,Others,24.29,180
15_2,01-Oct-19,Engineering,10.62,179
15_2,01-Feb-20,Food Processing,11.89,179
15_1,01-Jul-21,Plastic and Rubber,20.66,179
15_1,01-Jan-22,Food Processing,10.74,179
15_2,01-Jul-22,R&D,74.81,179
15_2,01-Oct-19,Electrical and Electronic Products,4.18,178
15_2,01-Jan-20,Engineering,17.18,178
17_2,01-Dec-19,Plastic and Rubber,28.83,177
17_2,01-Mar-23,Engineering,33.39,177
15_2,01-May-19,Pharmaceuticals and Chemicals,14.4,176
15_1,01-Feb-22,Plastic and Rubber,21.68,176
15_2,01-Mar-22,Pharmaceuticals and Chemicals,12,176
15_2,01-Jul-20,Food Processing,63.16,175
17_1,01-Feb-21,Engineering,24.41,175
17_3,01-Aug-22,Food Processing,20.02,175
17_2,01-Apr-19,Pharmaceuticals and Chemicals,9.37,174
17_2,01-Dec-21,Engineering,22.76,174
15_2,01-Jun-20,Engineering,20.93,173
15_2,01-Jul-19,R&D,96.01,172
15_2,01-Apr-20,Engineering,1.19,172
15_1,01-Apr-22,Engineering,38.27,171
15_1,01-Jul-21,Pharmaceuticals and Chemicals,70.24,170
17_3,01-Aug-21,Pharmaceuticals and Chemicals,15.51,170
17_2,01-Aug-21,Others,10.42,170
17_2,01-Dec-19,R&D,33.87,169
20_2,01-Sep-20,Food Processing,5.98,168
15_2,01-Apr-22,Engineering,13.73,168
15_2,01-Nov-20,Paper and Printing,5.23,166
19_4,01-Mar-21,Food Processing,3.38,166
15_2,01-Aug-21,Engineering,24.15,166
17_2,01-Oct-20,Engineering,3.86,165
15_1,01-Apr-22,Plastic and Rubber,26.46,165
15_2,01-May-21,Engineering,5.91,164
20_1,01-Jul-22,Others,5.91,163
15_1,01-Jul-22,Engineering,12.36,163
21_2,01-Nov-20,Food Processing,6.38,161
17_2,01-Mar-21,Beverages,8.2,160
15_2,01-Jan-22,Others,55.04,160
17_1,01-May-22,Pharmaceuticals and Chemicals,14.26,160
15_1,01-Jan-23,Food Processing,30.42,160
15_2,01-Apr-22,Plastic and Rubber,8.42,159
15_1,01-Sep-20,Pharmaceuticals and Chemicals,140.45,158
15_2,01-Mar-22,Plastic and Rubber,15.73,158
23_3,01-Aug-22,Engineering,24.97,158
15_1,01-Mar-23,Food Processing,33.11,157
23_3,01-Jul-20,Food Processing,5.64,156
15_1,01-Jul-20,Engineering,13.12,156
15_3,01-Jul-20,Beverages,0.25,155
15_2,01-Sep-22,Others,0.69,155
15_1,01-Sep-22,Plastic and Rubber,150.01,155
23_3,01-Nov-22,Engineering,10.84,155
20_2,01-May-19,Food Processing,11.62,154
17_3,01-Aug-20,Food Processing,7.66,154
15_2,01-May-22,Paper and Printing,3.91,154
23_3,01-Jun-22,Engineering,11.16,154
15_2,01-Jan-23,Engineering,18.76,153
20_1,01-Aug-22,Granite and Stone Crushing,4.17,151
17_2,01-Jun-19,Electrical and Electronic Products,15.31,150
14_1,01-Jul-19,R&D,135,150
15_1,01-Dec-19,Electrical and Electronic Products,5.25,150
17_2,01-Apr-20,Pharmaceuticals and Chemicals,4,150
15_2,01-Jul-20,Others,275,150
14_1,01-Nov-20,Pharmaceuticals and Chemicals,3.97,150
17_2,01-May-21,Others,8.75,150
15_1,01-Aug-21,Textiles,1.5,150
15_1,01-Oct-21,Pharmaceuticals and Chemicals,18,150
15_1,01-Dec-21,Pharmaceuticals and Chemicals,15.02,150
14_4,01-May-22,Beverages,330,150
20_1,01-Jun-22,Granite and Stone Crushing,5.51,150
17_1,01-Jun-22,Pharmaceuticals and Chemicals,294.3,150
17_3,01-Oct-22,R&D,0.06,150
17_2,01-Feb-23,Others,0.05,150
17_3,01-Mar-23,Agro based incl Cold Storages,152.17,150
15_1,01-Apr-19,Engineering,13.45,149
14_1,01-Oct-20,Engineering,10.43,148
15_1,01-Jul-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",213.9,147
15_2,01-Feb-20,Engineering,10.09,147
15_2,01-Jul-20,Engineering,5.33,147
15_2,01-Jun-19,Engineering,7.57,146
14_1,01-Jul-20,Pharmaceuticals and Chemicals,21.34,145
17_2,01-Aug-20,Paper and Printing,6.7,145
15_2,01-Jan-21,Pharmaceuticals and Chemicals,6.11,145
15_1,01-Aug-22,Food Processing,21.05,145
17_3,01-Dec-22,Food Processing,23.05,145
17_2,01-Jun-21,Engineering,14.86,144
15_2,01-Dec-21,Paper and Printing,12.39,144
15_1,01-Mar-22,"Real Estate,Industrial Parks and IT Buildings",1862.73,144
15_1,01-Aug-22,"Real Estate,Industrial Parks and IT Buildings",1517.07,144
15_2,01-Aug-19,Wood and Leather,3.38,143
23_1,01-Oct-19,Food Processing,5.6,143
20_1,01-Sep-19,Granite and Stone Crushing,5.71,142
20_1,01-Aug-21,Granite and Stone Crushing,9.11,142
23_3,01-Feb-22,Engineering,13.61,142
23_3,01-Sep-20,Engineering,6.42,141
15_2,01-Dec-20,R&D,8.22,141
15_1,01-Mar-21,Plastic and Rubber,206.21,141
17_2,01-Mar-21,Engineering,17.69,141
15_1,01-Mar-20,Engineering,40.02,140
23_1,01-Jun-22,Pharmaceuticals and Chemicals,19.05,140
15_1,01-May-22,Food Processing,7.84,139
20_1,01-Jun-22,Others,11.02,139
20_1,01-Nov-20,Granite and Stone Crushing,8.46,138
15_2,01-Mar-22,Electrical and Electronic Products,3.1,138
15_1,01-Jan-21,Food Processing,5.57,136
17_2,01-Sep-22,Food Processing,14.8,136
15_1,01-Oct-20,Textiles,20.25,135
15_1,01-Dec-20,Plastic and Rubber,17.31,135
15_1,01-Aug-21,Engineering,6.29,135
17_2,01-Jan-23,Electrical and Electronic Products,208.83,135
15_1,01-Feb-20,Engineering,11.91,134
15_2,01-Jan-21,Electrical and Electronic Products,16,134
15_2,01-Mar-21,Paper and Printing,34.32,134
15_2,01-Nov-22,R&D,10.4,134
15_2,01-Oct-20,Engineering,6.56,133
15_1,01-May-21,Beverages,8.36,133
17_3,01-Aug-19,Pharmaceuticals and Chemicals,69.2,132
21_2,01-Feb-20,Engineering,3.52,132
15_1,01-May-22,Plastic and Rubber,8.54,132
15_2,01-May-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",13.09,131
15_1,01-May-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",19.93,131
17_2,01-Jul-19,Plastic and Rubber,11.12,130
15_1,01-Sep-21,Food Processing,0.62,130
14_1,01-Jul-22,Wood and Leather,6,130
23_3,01-Jul-22,Pharmaceuticals and Chemicals,19.4,129
15_2,01-Nov-20,Engineering,10.45,128
15_1,01-Nov-21,Textiles,28.49,128
20_1,01-Nov-21,Granite and Stone Crushing,6.47,128
15_2,01-Jul-22,Plastic and Rubber,14.24,128
15_2,01-Oct-22,Engineering,16.98,128
21_2,01-Oct-20,Food Processing,9.03,127
15_2,01-Feb-23,Engineering,26.63,127
17_2,01-Oct-21,Food Processing,12.64,126
20_1,01-Apr-22,Others,8.39,126
15_2,01-Sep-22,R&D,221.2,126
14_1,01-Mar-23,Plastic and Rubber,46,126
17_1,01-Nov-20,Beverages,67.58,125
15_2,01-Feb-21,Electrical and Electronic Products,16.44,125
23_1,01-Jul-21,Engineering,13.99,125
20_1,01-Dec-21,Food Processing,1.65,125
15_2,01-Feb-22,Paper and Printing,1.46,125
